fare_id,route_id,origin_id,destination_id,contains_id
1000,10053,14_3,6327_9,
1000,10053,15_2,6327_9,
1000,10053,16_2,6327_9,
1000,10053,17_2,6265_9,
1000,10053,17_2,6349_9,
1000,10053,18_2,6265_9,
1000,10053,18_2,6349_9,
1000,10053,21_2,6291_9,
1000,10053,21_2,6316_9,
1000,10053,39_2,6291_9,
1000,10053,39_2,6316_9,
1000,10053,40_2,6291_9,
1000,10053,40_2,6316_9,
1000,10053,42_2,6291_9,
1000,10053,42_2,6316_9,
1000,10053,43_2,6291_9,
1000,10053,43_2,6316_9,
1000,10053,446_4,6282_1,
1000,10053,446_4,6371_1,
1000,10053,447_2,6282_1,
1000,10053,447_2,6371_1,
1000,10053,448_2,6282_1,
1000,10053,448_2,6371_1,
1000,10053,44_2,6291_9,
1000,10053,44_2,6316_9,
1000,10053,472_2,6309_9,
1000,10053,6143_2,6282_1,
1000,10053,6143_2,6371_1,
1000,10053,6158_2,6282_1,
1000,10053,6158_2,6371_1,
1000,10053,6166_2,6282_1,
1000,10053,6166_2,6371_1,
1000,10053,6241_2,6282_1,
1000,10053,6241_2,6371_1,
1000,10053,6260_2,6350_1,
1000,10053,6265_1,17_1,
1000,10053,6265_1,18_1,
1000,10053,6282_9,446_3,
1000,10053,6282_9,447_1,
1000,10053,6282_9,448_1,
1000,10053,6282_9,6143_1,
1000,10053,6282_9,6158_1,
1000,10053,6282_9,6166_1,
1000,10053,6282_9,6241_1,
1000,10053,6282_9,9_1,
1000,10053,6291_1,21_1,
1000,10053,6291_1,39_1,
1000,10053,6291_1,40_1,
1000,10053,6291_1,42_1,
1000,10053,6291_1,43_1,
1000,10053,6291_1,44_1,
1000,10053,6309_1,472_1,
1000,10053,6309_1,7471_1,
1000,10053,6316_1,21_1,
1000,10053,6316_1,39_1,
1000,10053,6316_1,40_1,
1000,10053,6316_1,42_1,
1000,10053,6316_1,43_1,
1000,10053,6316_1,44_1,
1000,10053,6327_1,14_1,
1000,10053,6327_1,15_1,
1000,10053,6327_1,16_1,
1000,10053,6349_1,17_1,
1000,10053,6349_1,18_1,
1000,10053,6350_1,6260_1,
1000,10053,6350_1,7475_2,
1000,10053,6371_9,446_3,
1000,10053,6371_9,447_1,
1000,10053,6371_9,448_1,
1000,10053,6371_9,6143_1,
1000,10053,6371_9,6158_1,
1000,10053,6371_9,6166_1,
1000,10053,6371_9,6241_1,
1000,10053,6371_9,9_1,
1000,10053,7471_2,6309_9,
1000,10053,7475_3,6350_1,
1000,10053,9_1,6282_1,
1000,10053,9_1,6371_1,
1050,10053,14_3,6265_9,
1050,10053,14_3,6291_9,
1050,10053,14_3,6316_9,
1050,10053,14_3,6340_1,
1050,10053,14_3,6349_9,
1050,10053,15_2,6265_9,
1050,10053,15_2,6291_9,
1050,10053,15_2,6316_9,
1050,10053,15_2,6340_1,
1050,10053,15_2,6349_9,
1050,10053,16_2,6265_9,
1050,10053,16_2,6291_9,
1050,10053,16_2,6316_9,
1050,10053,16_2,6340_1,
1050,10053,16_2,6349_9,
1050,10053,17_2,6291_9,
1050,10053,17_2,6309_9,
1050,10053,17_2,6316_9,
1050,10053,17_2,6340_1,
1050,10053,18_2,6291_9,
1050,10053,18_2,6309_9,
1050,10053,18_2,6316_9,
1050,10053,18_2,6340_1,
1050,10053,21_2,6309_9,
1050,10053,21_2,6340_1,
1050,10053,39_2,6309_9,
1050,10053,39_2,6340_1,
1050,10053,40_2,6309_9,
1050,10053,40_2,6340_1,
1050,10053,42_2,6309_9,
1050,10053,42_2,6340_1,
1050,10053,43_2,6309_9,
1050,10053,43_2,6340_1,
1050,10053,446_4,6297_1,
1050,10053,446_4,6327_9,
1050,10053,446_4,6344_9,
1050,10053,446_4,6369_1,
1050,10053,447_2,6297_1,
1050,10053,447_2,6327_9,
1050,10053,447_2,6344_9,
1050,10053,447_2,6369_1,
1050,10053,448_2,6297_1,
1050,10053,448_2,6327_9,
1050,10053,448_2,6344_9,
1050,10053,448_2,6369_1,
1050,10053,44_2,6309_9,
1050,10053,44_2,6340_1,
1050,10053,472_2,6278_9,
1050,10053,472_2,6321_9,
1050,10053,472_2,6350_1,
1050,10053,473_2,6278_9,
1050,10053,473_2,6321_9,
1050,10053,473_2,6350_1,
1050,10053,474_2,6278_9,
1050,10053,474_2,6321_9,
1050,10053,474_2,6350_1,
1050,10053,6143_2,6297_1,
1050,10053,6143_2,6327_9,
1050,10053,6143_2,6344_9,
1050,10053,6143_2,6369_1,
1050,10053,6158_2,6297_1,
1050,10053,6158_2,6327_9,
1050,10053,6158_2,6344_9,
1050,10053,6158_2,6369_1,
1050,10053,6166_2,6297_1,
1050,10053,6166_2,6327_9,
1050,10053,6166_2,6344_9,
1050,10053,6166_2,6369_1,
1050,10053,6241_2,6297_1,
1050,10053,6241_2,6327_9,
1050,10053,6241_2,6344_9,
1050,10053,6241_2,6369_1,
1050,10053,6265_1,14_1,
1050,10053,6265_1,15_1,
1050,10053,6265_1,16_1,
1050,10053,6278_1,472_1,
1050,10053,6278_1,473_1,
1050,10053,6278_1,474_1,
1050,10053,6278_1,7471_1,
1050,10053,6291_1,14_1,
1050,10053,6291_1,15_1,
1050,10053,6291_1,16_1,
1050,10053,6291_1,17_1,
1050,10053,6291_1,18_1,
1050,10053,6297_9,446_3,
1050,10053,6297_9,447_1,
1050,10053,6297_9,448_1,
1050,10053,6297_9,6143_1,
1050,10053,6297_9,6158_1,
1050,10053,6297_9,6166_1,
1050,10053,6297_9,6241_1,
1050,10053,6297_9,9_1,
1050,10053,6309_1,17_1,
1050,10053,6309_1,18_1,
1050,10053,6309_1,21_1,
1050,10053,6309_1,39_1,
1050,10053,6309_1,40_1,
1050,10053,6309_1,42_1,
1050,10053,6309_1,43_1,
1050,10053,6309_1,44_1,
1050,10053,6316_1,14_1,
1050,10053,6316_1,15_1,
1050,10053,6316_1,16_1,
1050,10053,6316_1,17_1,
1050,10053,6316_1,18_1,
1050,10053,6321_1,472_1,
1050,10053,6321_1,473_1,
1050,10053,6321_1,474_1,
1050,10053,6321_1,7471_1,
1050,10053,6327_1,446_3,
1050,10053,6327_1,447_1,
1050,10053,6327_1,448_1,
1050,10053,6327_1,6143_1,
1050,10053,6327_1,6158_1,
1050,10053,6327_1,6166_1,
1050,10053,6327_1,6241_1,
1050,10053,6327_1,9_1,
1050,10053,6340_9,14_1,
1050,10053,6340_9,15_1,
1050,10053,6340_9,16_1,
1050,10053,6340_9,17_1,
1050,10053,6340_9,18_1,
1050,10053,6340_9,21_1,
1050,10053,6340_9,39_1,
1050,10053,6340_9,40_1,
1050,10053,6340_9,42_1,
1050,10053,6340_9,43_1,
1050,10053,6340_9,44_1,
1050,10053,6344_1,446_3,
1050,10053,6344_1,447_1,
1050,10053,6344_1,448_1,
1050,10053,6344_1,6143_1,
1050,10053,6344_1,6158_1,
1050,10053,6344_1,6166_1,
1050,10053,6344_1,6241_1,
1050,10053,6344_1,9_1,
1050,10053,6349_1,14_1,
1050,10053,6349_1,15_1,
1050,10053,6349_1,16_1,
1050,10053,6350_1,472_1,
1050,10053,6350_1,473_1,
1050,10053,6350_1,474_1,
1050,10053,6350_1,7471_1,
1050,10053,6369_9,446_3,
1050,10053,6369_9,447_1,
1050,10053,6369_9,448_1,
1050,10053,6369_9,6143_1,
1050,10053,6369_9,6158_1,
1050,10053,6369_9,6166_1,
1050,10053,6369_9,6241_1,
1050,10053,6369_9,9_1,
1050,10053,7471_2,6278_9,
1050,10053,7471_2,6321_9,
1050,10053,7471_2,6350_1,
1050,10053,9_1,6297_1,
1050,10053,9_1,6327_9,
1050,10053,9_1,6344_9,
1050,10053,9_1,6369_1,
1100,10053,14_3,6309_9,
1100,10053,15_2,6309_9,
1100,10053,16_2,6309_9,
1100,10053,21_2,6278_9,
1100,10053,21_2,6321_9,
1100,10053,21_2,6350_1,
1100,10053,39_2,6278_9,
1100,10053,39_2,6321_9,
1100,10053,39_2,6350_1,
1100,10053,40_2,6278_9,
1100,10053,40_2,6321_9,
1100,10053,40_2,6350_1,
1100,10053,42_2,6278_9,
1100,10053,42_2,6321_9,
1100,10053,42_2,6350_1,
1100,10053,43_2,6278_9,
1100,10053,43_2,6321_9,
1100,10053,43_2,6350_1,
1100,10053,446_4,6265_9,
1100,10053,446_4,6349_9,
1100,10053,447_2,6265_9,
1100,10053,447_2,6349_9,
1100,10053,448_2,6265_9,
1100,10053,448_2,6349_9,
1100,10053,44_2,6278_9,
1100,10053,44_2,6321_9,
1100,10053,44_2,6350_1,
1100,10053,6143_2,6265_9,
1100,10053,6143_2,6349_9,
1100,10053,6158_2,6265_9,
1100,10053,6158_2,6349_9,
1100,10053,6166_2,6265_9,
1100,10053,6166_2,6349_9,
1100,10053,6241_2,6265_9,
1100,10053,6241_2,6349_9,
1100,10053,6265_1,446_3,
1100,10053,6265_1,447_1,
1100,10053,6265_1,448_1,
1100,10053,6265_1,6143_1,
1100,10053,6265_1,6158_1,
1100,10053,6265_1,6166_1,
1100,10053,6265_1,6241_1,
1100,10053,6265_1,9_1,
1100,10053,6278_1,21_1,
1100,10053,6278_1,39_1,
1100,10053,6278_1,40_1,
1100,10053,6278_1,42_1,
1100,10053,6278_1,43_1,
1100,10053,6278_1,44_1,
1100,10053,6309_1,14_1,
1100,10053,6309_1,15_1,
1100,10053,6309_1,16_1,
1100,10053,6321_1,21_1,
1100,10053,6321_1,39_1,
1100,10053,6321_1,40_1,
1100,10053,6321_1,42_1,
1100,10053,6321_1,43_1,
1100,10053,6321_1,44_1,
1100,10053,6349_1,446_3,
1100,10053,6349_1,447_1,
1100,10053,6349_1,448_1,
1100,10053,6349_1,6143_1,
1100,10053,6349_1,6158_1,
1100,10053,6349_1,6166_1,
1100,10053,6349_1,6241_1,
1100,10053,6349_1,9_1,
1100,10053,6350_1,21_1,
1100,10053,6350_1,39_1,
1100,10053,6350_1,40_1,
1100,10053,6350_1,42_1,
1100,10053,6350_1,43_1,
1100,10053,6350_1,44_1,
1100,10053,9_1,6265_9,
1100,10053,9_1,6349_9,
1150,10053,14_3,6278_9,
1150,10053,14_3,6321_9,
1150,10053,15_2,6278_9,
1150,10053,15_2,6321_9,
1150,10053,16_2,6278_9,
1150,10053,16_2,6321_9,
1150,10053,17_2,6278_9,
1150,10053,17_2,6321_9,
